cohort,seed,passed,violations,actions,retries,prevented,planningMs,elapsedMs
before_learning,1,true,0,6,0,0,3.3442999999999756,9.755200000000002
before_learning,2,false,2,6,0,0,2.9938999999999396,4.816700000000026
before_learning,3,true,0,6,0,0,2.137800000000084,4.784600000000012
before_learning,4,true,0,6,0,0,1.6972000000000662,3.7121999999999957
before_learning,5,false,2,6,0,0,2.1007000000000176,3.584799999999973
before_learning,6,true,0,6,0,0,1.0840999999999212,2.6083000000000425
before_learning,7,true,0,6,0,0,1.1668000000000234,3.3010000000000446
before_learning,8,false,2,6,0,0,1.394900000000007,3.2164000000000215
before_learning,9,false,4,6,0,0,1.239400000000046,3.1195000000000164
before_learning,10,false,4,6,0,0,1.370800000000031,3.3421000000000163
before_learning,11,false,2,6,0,0,1.1031999999999584,2.7589999999999577
before_learning,12,false,4,6,0,0,0.8997000000001094,3.3465999999999667
before_learning,13,false,4,6,0,0,1.3408999999999764,3.197399999999959
before_learning,14,false,4,6,0,0,1.0507999999999242,2.64609999999999
before_learning,15,false,2,6,0,0,0.7329000000000292,1.7265999999999622
before_learning,16,false,4,6,0,0,1.3695999999999913,3.022800000000018
before_learning,17,false,2,6,0,0,1.2961000000001377,3.210899999999981
before_learning,18,false,4,6,0,0,1.8638999999999442,4.741499999999974
before_learning,19,false,4,6,0,0,0.807200000000023,2.0604000000000156
before_learning,20,false,2,6,0,0,1.1071000000000026,3.050100000000043
before_learning,21,false,4,6,0,0,0.7171000000000163,1.7170000000000414
before_learning,22,false,4,6,0,0,0.8082000000000562,1.8673000000000002
before_learning,23,false,2,6,0,0,0.7037000000000262,1.6614000000000146
before_learning,24,false,4,6,0,0,1.0604999999999905,2.400699999999972
before_learning,25,false,4,6,0,0,2.5088000000000648,4.683400000000006
before_learning,26,false,2,6,0,0,1.8044000000000437,3.7706000000000017
before_learning,27,true,0,6,0,0,1.2726999999999862,3.8057000000000016
before_learning,28,true,0,6,0,0,1.234200000000044,2.9542999999999893
before_learning,29,false,2,6,0,0,1.7603000000000861,4.080600000000004
before_learning,30,true,0,6,0,0,1.3997999999999706,3.6875
before_learning,31,true,0,6,0,0,1.3845999999999208,3.1093999999999937
before_learning,32,false,2,6,0,0,1.2909999999999968,2.967900000000043
before_learning,33,true,0,6,0,0,1.0774000000000683,2.4360000000000355
before_learning,34,true,0,6,0,0,0.8246999999999503,1.865099999999984
before_learning,35,false,2,6,0,0,1.9045999999999594,4.553999999999974
before_learning,36,false,4,6,0,0,0.8334000000000401,1.9586999999999648
before_learning,37,false,4,6,0,0,0.9333999999999492,2.2298000000000116
before_learning,38,false,4,6,0,0,1.0024000000000797,2.2683000000000106
before_learning,39,false,4,6,0,0,0.9287000000000489,2.1976999999999975
before_learning,40,false,4,6,0,0,0.9878999999999678,2.2042999999999893
before_learning,41,false,2,6,0,0,1.5962000000000103,4.1340000000000146
before_learning,42,false,4,6,0,0,1.3817000000000803,3.823000000000036
before_learning,43,false,4,6,0,0,1.3043000000000688,2.92410000000001
